Date,Time,Latitude,Longitude,Message
25/04/2015,9:00:09,28.76827,81.02235,@mangeshkarlata @sonunigam plz share &amp; forward as maximum as u can..helpline numbers #Earthquake In #Nepal.. http://t.co/VFYGtGP9RU
25/04/2015,9:01:20,28.75335,81.7071,The Prime Minister spoke to West Bengal Chief Minister @MamataOfficial ji on the situation arising in the wake of the Earthquake.
25/04/2015,9:01:23,28.79799,82.6061,Shri Rahul Gandhi's statement on the massive earthquake today (1/3)
25/04/2015,9:01:31,28.82734,81.77634,My thoughts and prayers are with the people affected by the massive earthquake in Nepal and parts of India. (2/3)
25/04/2015,9:02:13,28.72228,81.82741,Theres been a fatal earthquake in Nepal but the papers are still leading with an irrelevant celebrity making a personal life choice? Hideous
25/04/2015,9:02:36,28.74377,81.40853,@Gurmeetramrahim plzz share ! these are emergency no4Nepal earthquake.stay with us papaji #MSGHelpsEarthquakeVictims http://t.co/0vjaRmSs12
25/04/2015,9:02:50,28.71992,81.49838,Our prayers are with people in Nepal. Here are details of doctors in the area http://t.co/mwWjNiXcc8 #Earthquake http://t.co/2A2rElYJ3u
25/04/2015,9:03:05,28.71612,82.71368,"Update:  #earthquake claims lives, Dharahara tower falls, airport shutdown, 3 dead in India | http://t.co/Dtr7KRWD8u http://t.co/7UOM4ZukID"
25/04/2015,9:03:19,28.8249,82.5393,The first thing we need to be cool &amp; needn't to be panic in case of such terrible #earthquake or when natural calamity comes #YUG
25/04/2015,9:04:05,28.83128,82.99769,Urge everyone to stay calm yet alert. Avoid rumours. Assist those who need help. Inform authorities. #earthquake
25/04/2015,9:04:09,28.73666,82.0519,"I pray for the safety of all affected in the earthquake. All must unite for victims, especially for the elderly and children"
25/04/2015,9:04:09,28.82769,80.99487,drastic pictures of #earthquake http://t.co/IibRK8M3Fm
25/04/2015,9:04:10,28.83545,82.30638,"People are dead, buildings have collapsed, some people have lost everything they ever had. But please go ahead, make jokes! #earthquake"
25/04/2015,9:04:48,28.7753,82.4733,"Kathmandu's Darbar Square, a UNESCO World Heritage site, in ruins after today's earthquake.#earthquake"
25/04/2015,9:05:02,28.82982,81.14713,"@iamsrk Khan saab-  INDIAN Embassy HELPLINE (NEPAL) : +9779851107021  , +9779851135141 &amp; Other numbers - +9771 4261945/ 4261790  #earthquak"
25/04/2015,9:05:18,28.81228,81.44719,@BadrAAKAR he is stranded in #kathmandu. He was at the airport when the earthquake hit &amp; the airport shut down. Am checkng abt the grp. Wai
25/04/2015,9:05:28,28.83149,82.85696,We need to Pray Lord Shiva &amp; need not panic in case of such terrible #earthquake or when natural calamity comes #YUG
25/04/2015,9:05:41,28.72134,81.60492,#SewaBharati Varanasi will be sending 'Relief Material' &amp; Medical Help. More Info awaited ... #Earthquake
